id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
54179717,Deluxe Doppelzimmer inkl. Frühstück vom Buffet,395880389,Boutique Hotel Germania,,Ludwigsvorstadt-Isarvorstadt,48.137646,11.560234,Private room,342,1,0,,,26,335,0,
54179821,Deluxe Zweibettzimmer inkl. Frühstück vom Buffet,395880389,Boutique Hotel Germania,,Ludwigsvorstadt-Isarvorstadt,48.137646,11.560234,Private room,342,1,0,,,26,340,0,
54180056,Deluxe Familienzimmer inkl. Frühstück vom Buffet,395880389,Boutique Hotel Germania,,Ludwigsvorstadt-Isarvorstadt,48.137646,11.560234,Private room,413,1,0,,,26,247,0,
54180161,Deluxe Dreibettzimmer inkl. Frühstück vom Buffet,395880389,Boutique Hotel Germania,,Ludwigsvorstadt-Isarvorstadt,48.137646,11.560234,Private room,381,1,0,,,26,263,0,
54181024,Cozy Appartement 15 Minutes from Oktoberfest!!,133799845,Mayssa,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09213,11.49713,Entire home/apt,70,2,3,2022-04-24,1.03,1,203,3,
54190347,Sonnige Wohnung mit Balkon im Herzen München’s,8130817,Stella-Maria,,Au-Haidhausen,48.12208,11.57385,Entire home/apt,185,2,6,2022-03-20,1.32,1,151,6,
54235955,"2,5 Zimmer Wohnung, zentral in München",38382802,Laura,,Ludwigsvorstadt-Isarvorstadt,48.13871,11.55076,Entire home/apt,99,20,5,2022-06-10,1.36,1,33,5,
54237579,"Doppelzimmer mit Privatbad im Hostel, Innenstadt",308052561,Euro Youth Hotel,,Ludwigsvorstadt-Isarvorstadt,48.13932,11.55964,Private room,150,1,2,2022-06-13,0.43,14,54,2,
54237782,Moderne 2 Zimmer Wohnung im Herzen Münchens,64124497,Dominik,,Maxvorstadt,48.14793,11.57835,Entire home/apt,105,2,1,2022-02-27,0.26,1,0,1,
54256043,Helle und ruhige Wohnung in München City,439979688,Daniel,,Au-Haidhausen,48.12742,11.58688,Entire home/apt,95,4,4,2022-05-15,0.98,1,23,4,
